
Epoch 1/200, Loss: 3.875348180839696
Epoch 2/200, Loss: 3.8196415065490092
Epoch 3/200, Loss: 3.8186707656408094
Epoch 4/200, Loss: 3.8176115714397625
Epoch 5/200, Loss: 3.8160945902165677
Epoch 6/200, Loss: 3.8151123191892484
Epoch 7/200, Loss: 3.814529764283564
Epoch 8/200, Loss: 3.8147426487244283
Epoch 9/200, Loss: 3.81422546475204
Epoch 10/200, Loss: 3.813719758053416
Epoch 11/200, Loss: 3.813046283328656
Epoch 12/200, Loss: 3.813287932848193
Epoch 13/200, Loss: 3.8133054013104783
Epoch 14/200, Loss: 3.8125724288606153
Epoch 15/200, Loss: 3.8131229680838046
Epoch 16/200, Loss: 3.8126351354048422
Epoch 17/200, Loss: 3.812126534501302
Epoch 18/200, Loss: 3.8116091268578756
Epoch 19/200, Loss: 3.811572591054071
Epoch 20/200, Loss: 3.812893305857157
Epoch 21/200, Loss: 3.8119275545336535
Epoch 22/200, Loss: 3.8117403787435946
Epoch 23/200, Loss: 3.810615765679743
Epoch 24/200, Loss: 3.8112491123455086
Epoch 25/200, Loss: 3.8112189425635585
Epoch 26/200, Loss: 3.810680207517958
Epoch 27/200, Loss: 3.8103754999711343
Epoch 28/200, Loss: 3.8109192319752014
Epoch 29/200, Loss: 3.810229343237336
Epoch 30/200, Loss: 3.810634107933831
Epoch 31/200, Loss: 3.8111941740684903
Epoch 32/200, Loss: 3.810385900674407
Epoch 33/200, Loss: 3.809816676316802
Epoch 34/200, Loss: 3.809608605719104
Epoch 35/200, Loss: 3.8100278684773397
Epoch 36/200, Loss: 3.8098902935834276
Epoch 37/200, Loss: 3.810093978016647
Epoch 38/200, Loss: 3.809407709800091
Epoch 39/200, Loss: 3.8100857206226624
Epoch 40/200, Loss: 3.8097319664414395
Epoch 41/200, Loss: 3.8095273307918274
Epoch 42/200, Loss: 3.808907478126054
Epoch 43/200, Loss: 3.809828731202588
Epoch 44/200, Loss: 3.809281688375571
Epoch 45/200, Loss: 3.8094481524732924
Epoch 46/200, Loss: 3.8099086124872423
Epoch 47/200, Loss: 3.8090901804953505
Epoch 48/200, Loss: 3.8092465609619297
Epoch 49/200, Loss: 3.8089106144364346
Epoch 50/200, Loss: 3.808810080449606
Epoch 51/200, Loss: 3.8079617429025396
Epoch 52/200, Loss: 3.8087124775365457
Epoch 53/200, Loss: 3.8086766078300083
Epoch 54/200, Loss: 3.808525591781459
Epoch 55/200, Loss: 3.8087942895201063
Epoch 56/200, Loss: 3.8089901012243685
Epoch 57/200, Loss: 3.8091835324297247
Epoch 58/200, Loss: 3.8087749309146526
Epoch 59/200, Loss: 3.8079237348025607
Epoch 60/200, Loss: 3.8085133058508647
Epoch 61/200, Loss: 3.808542297058499
Epoch 62/200, Loss: 3.8086619192791966
Epoch 63/200, Loss: 3.808108729185517
Epoch 64/200, Loss: 3.8084534332924282
Epoch 65/200, Loss: 3.808000976277381
Epoch 66/200, Loss: 3.808146415297518
Epoch 67/200, Loss: 3.807994203469188
Epoch 68/200, Loss: 3.8079795050866827
Epoch 69/200, Loss: 3.8079719875276705
Epoch 70/200, Loss: 3.8082156095308126
Epoch 71/200, Loss: 3.8086272797633693
Epoch 72/200, Loss: 3.808071210212314
Epoch 73/200, Loss: 3.807765050032704
Epoch 74/200, Loss: 3.8080484178877367
Epoch 75/200, Loss: 3.807773967379147
Epoch 76/200, Loss: 3.8079720317702934
Epoch 77/200, Loss: 3.807899486158312
Epoch 78/200, Loss: 3.8075970448169514
Epoch 79/200, Loss: 3.8069396682621277
Epoch 80/200, Loss: 3.80768810105078
Epoch 81/200, Loss: 3.807737302534359
Epoch 82/200, Loss: 3.8080602478735224
Epoch 83/200, Loss: 3.8084577629246663
Epoch 84/200, Loss: 3.807296847559742
Epoch 85/200, Loss: 3.807312611452083
Epoch 86/200, Loss: 3.8075394458377483
Epoch 87/200, Loss: 3.8070932282614955
Epoch 88/200, Loss: 3.808355788594669
Epoch 89/200, Loss: 3.8073957568591403
Epoch 90/200, Loss: 3.807706062326726
Epoch 91/200, Loss: 3.8064363998236117
Epoch 92/200, Loss: 3.8073875990110575
Epoch 93/200, Loss: 3.8078582594075154
Epoch 94/200, Loss: 3.8076556011573555
Epoch 95/200, Loss: 3.8075100146618084
Epoch 96/200, Loss: 3.8080982658051954
Epoch 97/200, Loss: 3.8073333071679185
Epoch 98/200, Loss: 3.806541646878744
Epoch 99/200, Loss: 3.806948239041358
Epoch 100/200, Loss: 3.8071794509887695
Epoch 101/200, Loss: 3.8070099329211047
Epoch 102/200, Loss: 3.806797225450732
Epoch 103/200, Loss: 3.8065392639219144
Epoch 104/200, Loss: 3.8078145243457913
Epoch 105/200, Loss: 3.807159590966923
Epoch 106/200, Loss: 3.8068120393556417
Epoch 107/200, Loss: 3.8071263684439907
Epoch 108/200, Loss: 3.807285064274503
Epoch 109/200, Loss: 3.806804103949635
Epoch 110/200, Loss: 3.8070139688314852
